marque,modele,annee,kilometrage,carburant,transmission,puissance_cv,nb_portes,couleur,nb_proprietaires,prix
Mercedes,GLC,2022,19837,Essence,Manuelle,193,5,Argent,1,47200
Audi,Q3,2020,93863,Essence,Manuelle,70,3,Bleu,1,18400
BMW,Serie 3,2017,109882,Diesel,Automatique,153,3,Blanc,4,22400
Peugeot,308,2023,15592,Diesel,Automatique,98,5,Bleu,1,20000
BMW,Serie 3,2024,199,Hybride,Manuelle,214,5,Vert,1,47700
Mercedes,GLC,2023,21242,Diesel,Automatique,104,5,Rouge,1,44000
Mercedes,Classe A,2022,11982,Essence,Manuelle,226,5,Noir,1,31400
Renault,Kadjar,2021,45971,Essence,Manuelle,146,5,Argent,3,19500
Renault,Captur,2019,54008,Essence,Manuelle,91,5,Gris,1,11900
Mercedes,Classe A,2018,145570,Essence,Automatique,109,5,Vert,1,15700
BMW,X3,2016,63999,Essence,Manuelle,159,5,Noir,1,18900
Renault,Clio,2015,112964,Hybride,Automatique,110,5,Rouge,2,7300
Peugeot,3008,2022,29599,Diesel,Automatique,117,5,Argent,2,25200
Citroen,C3,2019,83895,Essence,Manuelle,104,3,Bleu,2,8700
BMW,X3,2021,64398,Essence,Automatique,250,5,Gris,3,31400
Audi,A1,2023,8348,Essence,Automatique,102,5,Bleu,3,23500
Audi,A3,2022,23460,Essence,Automatique,162,5,Noir,4,26000
Volkswagen,Tiguan,2015,119780,Hybride,Automatique,89,5,Gris,3,14800
BMW,X3,2015,105095,Essence,Automatique,194,3,Argent,2,18900
BMW,X1,2023,8273,Essence,Automatique,132,5,Gris,1,38300
Mercedes,Classe C,2020,61011,Electrique,Manuelle,245,5,Blanc,1,34800
Toyota,RAV4,2017,157985,Essence,Automatique,70,5,Bleu,1,13200
Audi,Q5,2015,234989,Electrique,Manuelle,132,5,Gris,1,18100
Renault,Megane,2020,77890,Essence,Automatique,141,5,Blanc,1,15700
BMW,X3,2021,56765,Hybride,Automatique,181,5,Rouge,1,47100
Audi,Q3,2017,60157,Essence,Automatique,178,5,Rouge,3,17000
Peugeot,208,2018,31531,Hybride,Manuelle,108,5,Bleu,2,10800
Citroen,C3 Aircross,2022,10559,Hybride,Manuelle,86,3,Rouge,1,18100
Mercedes,Classe A,2019,35249,Essence,Manuelle,189,5,Vert,2,21000
Toyota,C-HR,2017,75584,Hybride,Manuelle,102,3,Rouge,2,14900
Renault,Scenic,2021,41707,Essence,Automatique,205,5,Vert,3,22400
Volkswagen,T-Roc,2018,36920,Diesel,Manuelle,164,5,Blanc,2,14700
Citroen,C5 Aircross,2016,123121,Essence,Automatique,156,5,Gris,1,12100
Volkswagen,Golf,2019,87684,Essence,Manuelle,141,5,Gris,4,14400
Audi,Q3,2016,135103,Hybride,Automatique,218,5,Gris,1,17900
Renault,Clio,2018,77151,Hybride,Manuelle,101,5,Bleu,2,8800
Mercedes,GLC,2019,77633,Diesel,Manuelle,270,5,Blanc,3,34000
Volkswagen,Polo,2020,63378,Essence,Automatique,123,3,Gris,2,13200
Toyota,Yaris,2020,44990,Hybride,Automatique,135,3,Gris,1,13900
Peugeot,3008,2024,2305,Hybride,Automatique,76,5,Bleu,1,34800
Audi,A1,2020,86317,Electrique,Automatique,166,5,Bleu,1,21100
Citroen,C3 Aircross,2018,66044,Electrique,Automatique,153,5,Noir,4,12700
Audi,Q3,2022,17823,Essence,Manuelle,231,3,Blanc,1,27200
Citroen,C4,2015,101158,Diesel,Manuelle,106,5,Blanc,2,8700
Audi,A3,2019,72313,Hybride,Automatique,194,5,Argent,3,20500
Renault,Scenic,2015,42296,Essence,Manuelle,117,5,Argent,3,10400
Mercedes,Classe A,2019,62377,Essence,Automatique,111,5,Noir,1,19900
Audi,A3,2024,347,Diesel,Automatique,283,5,Blanc,2,45100
