customer_id,gender,age,has_partner,has_dependents,tenure_months,contract_type,internet_service,phone_service,online_security,online_backup,streaming_tv,payment_method,monthly_charges,total_charges,num_support_tickets,churn
CUST-00001,Male,36,No,No,1,Month-to-month,DSL,Yes,Yes,No,Yes,Credit card,96.74,96.85,1,No
CUST-00002,Male,38,Yes,No,12,Month-to-month,DSL,Yes,No,Yes,Yes,Mailed check,84.59,1000.28,2,Yes
CUST-00003,Male,39,Yes,No,4,Month-to-month,DSL,Yes,No,No,Yes,Mailed check,72.5,276.85,5,Yes
CUST-00004,Male,62,Yes,No,29,Month-to-month,Fiber optic,No,No,Yes,Yes,Credit card,104.79,3180.41,1,Yes
CUST-00005,Male,42,Yes,No,53,One year,DSL,Yes,Yes,No,Yes,Mailed check,96.3,5291.75,1,No
CUST-00006,Male,39,Yes,Yes,35,One year,Fiber optic,Yes,No,Yes,No,Credit card,94.67,3230.32,8,No
CUST-00007,Male,57,Yes,No,3,Month-to-month,DSL,Yes,No,Yes,Yes,Electronic check,78.2,238.13,1,Yes
CUST-00008,Female,23,Yes,No,6,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Mailed check,108.39,636.63,4,Yes
CUST-00009,Female,50,Yes,No,53,Two year,Fiber optic,Yes,No,No,Yes,Electronic check,116.5,6361.43,3,No
CUST-00010,Male,33,No,No,19,Month-to-month,None,Yes,No,No,No,Bank transfer,38.71,723.56,4,No
CUST-00011,Male,41,No,No,65,Two year,DSL,Yes,No,No,Yes,Electronic check,91.04,5065.63,2,No
CUST-00012,Female,32,No,No,68,Two year,Fiber optic,Yes,Yes,Yes,No,Bank transfer,134.43,9267.7,3,No
CUST-00013,Male,57,No,No,72,Month-to-month,DSL,Yes,No,No,No,Electronic check,84.83,6580.05,1,Yes
CUST-00014,Female,38,Yes,No,69,Two year,DSL,Yes,Yes,No,No,Electronic check,88.46,6119.41,3,No
CUST-00015,Male,21,No,Yes,17,Month-to-month,Fiber optic,Yes,No,Yes,No,Electronic check,97.74,1531.93,5,Yes
CUST-00016,Male,75,Yes,Yes,25,One year,DSL,Yes,Yes,No,No,Credit card,85.44,1919.71,2,No
CUST-00017,Male,47,Yes,Yes,20,Month-to-month,Fiber optic,No,No,Yes,Yes,Electronic check,96.75,1990.91,3,Yes
CUST-00018,Male,41,Yes,No,3,Month-to-month,DSL,Yes,No,No,Yes,Bank transfer,97.35,292.9,2,Yes
CUST-00019,Male,80,No,No,45,One year,DSL,Yes,No,No,No,Credit card,77.23,3276.4,1,No
CUST-00020,Male,53,Yes,No,6,Month-to-month,None,Yes,No,No,No,Credit card,37.51,221.06,5,No
CUST-00021,Male,73,No,Yes,15,Month-to-month,None,Yes,No,No,No,Electronic check,46.75,741.37,1,No
CUST-00022,Female,57,No,No,59,Two year,None,Yes,No,No,No,Credit card,39.48,2120.61,3,No
CUST-00023,Male,38,No,No,72,Two year,None,Yes,No,No,No,Credit card,41.62,3004.97,1,No
CUST-00024,Male,45,No,Yes,72,Month-to-month,Fiber optic,Yes,No,No,No,Credit card,88.17,6280.49,5,No
CUST-00025,Female,57,No,No,47,One year,Fiber optic,Yes,No,Yes,No,Bank transfer,83.46,4040.12,2,No
CUST-00026,Male,79,No,No,42,One year,DSL,No,Yes,Yes,No,Mailed check,82.89,3340.68,1,No
CUST-00027,Female,33,Yes,Yes,1,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Electronic check,104.94,104.94,4,Yes
CUST-00028,Female,54,No,No,16,Month-to-month,Fiber optic,No,No,No,No,Bank transfer,74.19,1183.75,9,No
CUST-00029,Male,49,No,Yes,1,Month-to-month,DSL,Yes,No,Yes,No,Mailed check,75.99,75.99,5,No
CUST-00030,Female,83,No,No,42,Month-to-month,Fiber optic,Yes,No,No,No,Mailed check,94.86,4142.77,3,No
CUST-00031,Female,52,Yes,No,21,Month-to-month,Fiber optic,Yes,No,No,No,Mailed check,75.41,1475.48,2,Yes
CUST-00032,Male,52,Yes,Yes,12,Month-to-month,DSL,Yes,No,No,Yes,Mailed check,88.98,1034.64,2,Yes
CUST-00033,Female,56,No,No,2,Month-to-month,Fiber optic,Yes,No,No,Yes,Mailed check,98.65,185.76,1,Yes
CUST-00034,Male,20,Yes,No,39,Month-to-month,DSL,Yes,No,No,Yes,Bank transfer,94.49,3784.41,1,No
CUST-00035,Female,48,Yes,No,48,Month-to-month,Fiber optic,Yes,No,No,No,Electronic check,102.98,5140.14,2,No
CUST-00036,Female,47,No,No,26,Month-to-month,Fiber optic,Yes,No,No,Yes,Electronic check,90.69,2451.99,2,Yes
CUST-00037,Female,76,No,Yes,6,One year,Fiber optic,Yes,Yes,Yes,No,Credit card,110.59,668.83,6,No
CUST-00038,Female,43,No,Yes,3,Month-to-month,None,Yes,No,No,No,Bank transfer,40.45,126.64,3,No
CUST-00039,Female,40,No,No,17,One year,DSL,Yes,Yes,No,No,Electronic check,67.09,1192.78,2,No
CUST-00040,Male,61,No,Yes,5,Month-to-month,DSL,Yes,No,No,No,Electronic check,79.01,386.27,1,No
CUST-00041,Female,45,No,No,33,One year,None,No,No,No,No,Electronic check,19.19,587.29,3,No
